cross,fert,mi,fert_sqrt,mi_sqrt
L31-L56,9.78,3,3.127299154,1.732050808
L31-U94,33.77,76,5.81119609,8.717797887
L31-M2,37.5,31,6.123724357,5.567764363
L31-M8,56.79,29,7.535914012,5.385164807
L56-U94,38.42,73,6.198386887,8.544003745
L56-M2,37.84,28,6.1514226,5.291502622
L56-M8,95.8,26,9.787747443,5.099019514
U94-M2,38.36,45,6.193545027,6.708203932
U94-M8,83.08,47,9.114823092,6.8556546
M2-M8,44.79,2,6.692533153,1.414213562
L56-L31,75.11,3,8.666602564,1.732050808
U94-L31,67.96,76,8.243785538,8.717797887
M2-L31,29.41,31,5.423098745,5.567764363
M8-L31,11.45,29,3.383784863,5.385164807
U94-L56,19,73,4.358898944,8.544003745
M2-L56,6.55,28,2.559296778,5.291502622
M8-L56,3.79,26,1.946792233,5.099019514
M2-U94,34.81,45,5.9,6.708203932
M8-U94,17.71,47,4.208325083,6.8556546
M8-M2,0.58,2,0.761577311,1.414213562
U1-B8 ,2.732240437,67,1.652949012,8.185352772
U1-L1 ,27.52689497,55,5.246607949,7.416198487
U1-L7 ,20.38162783,63,4.514601625,7.937253933
U1-M5 ,59.0104789,32,7.681827836,5.656854249
U1-U39 ,43.95839817,2,6.630112983,1.414213562
U1-L31 ,31.1887019,62,5.584684584,7.874007874
U1-M13 ,50.22544283,33,7.086991098,5.744562647
U1-U77 ,0.916573139,16,0.957378263,4
U1-U106 ,10.61119197,10,3.257482459,3.16227766
B8-L1 ,34.21652422,111,5.849489227,10.53565375
B8-L7 ,28.15965427,117,5.306567089,10.81665383
B8-M5 ,86.76470588,93,9.314757425,9.643650761
B8-U39 ,50.48993722,69,7.105627152,8.306623863
B8-L31 ,43.94851738,118,6.629367796,10.86278049
B8-M13 ,74.72222222,94,8.644201653,9.695359715
B8-U77 ,1.36009636,81,1.166231692,9
B8-U106 ,13.52699408,58,3.677906209,7.615773106
L1-L7 ,16.78018278,9,4.09636214,3
L1-M5 ,54.0347664,23,7.350834402,4.795831523
L1-U39 ,23.93673195,53,4.892517956,7.280109889
L1-L31 ,34.87716084,7,5.905688854,2.645751311
L1-M13 ,55.80884318,22,7.470531653,4.69041576
L1-U77 ,9.486701363,39,3.080048922,6.244997998
L1-U106 ,12.42724868,64,3.525230302,8
L7-M5 ,61.41287486,32,7.836636706,5.656854249
L7-U39 ,33.72643617,62,5.807446614,7.874007874
L7-L31 ,46.82125604,3,6.842605939,1.732050808
L7-M13 ,60.70572175,31,7.791387665,5.567764363
L7-U77 ,16.57236842,48,4.070917393,6.92820323
L7-U106 ,7.848897135,73,2.801588324,8.544003745
M5-U39 ,23.92810791,31,4.891636527,5.567764363
M5-L31 ,29.40907331,30,5.423013305,5.477225575
M5-M13 ,33.00803159,1,5.745261664,1
M5-U77 ,11.99331898,16,3.463137159,4
M5-U106 ,6.807181889,42,2.609057663,6.480740698
U39-L31 ,29.78783321,61,5.45782312,7.810249676
U39-M13 ,32.87659201,32,5.733811299,5.656854249
U39-U77 ,16.8396867,15,4.103618732,3.872983346
U39-U106 ,8.912037037,12,2.985303508,3.464101615
L31-M13 ,58.08080808,29,7.62107657,5.385164807
L31-U77 ,21.88548538,46,4.678192533,6.782329983
L31-U106 ,28.36246201,72,5.325641934,8.485281374
M13-U77 ,15.76035782,17,3.969931715,4.123105626
M13-U106 ,14.00759734,43,3.742672486,6.557438524
U77-U106 ,25.18199234,27,5.018166233,5.196152423
B8-U1 ,0.529100529,67,0.727392967,8.185352772
L1-U1 ,18.36572152,55,4.285524649,7.416198487
L7-U1 ,41.44728238,63,6.437956382,7.937253933
M5-U1 ,16.45210728,32,4.056119732,5.656854249
U39-U1 ,19.17177629,2,4.3785587,1.414213562
L31-U1 ,33.30174656,62,5.770766549,7.874007874
M13-U1 ,25.14619883,33,5.014598571,5.744562647
U77-U1 ,1.537176274,16,1.239829131,4
U106-U1 ,39.91013072,10,6.317446535,3.16227766
L1-B8 ,78.81241565,111,8.877635702,10.53565375
L7-B8 ,91.99284512,117,9.591290065,10.81665383
M5-B8 ,47.81754799,93,6.915023354,9.643650761
U39-B8 ,60.66531685,69,7.788794313,8.306623863
L31-B8 ,86.94388049,118,9.324370246,10.86278049
M13-B8 ,38.17805777,94,6.178839516,9.695359715
U77-B8 ,0.529100529,81,0.727392967,9
U106-B8 ,82.99341682,58,9.110072273,7.615773106
L7-L1 ,31.52875587,9,5.615047272,3
M5-L1 ,23.19790538,23,4.816420391,4.795831523
U39-L1 ,27.93317793,53,5.285184758,7.280109889
L31-L1 ,28.82498058,7,5.36889007,2.645751311
M13-L1 ,21.41614221,22,4.627757795,4.69041576
U77-L1 ,34.5190175,39,5.875288716,6.244997998
U106-L1 ,32.62626263,64,5.711940356,8
M5-L7 ,12.19047619,32,3.491486244,5.656854249
U39-L7 ,16.01909995,62,4.002386782,7.874007874
L31-L7 ,24.53383616,3,4.953164257,1.732050808
M13-L7 ,15.60558683,31,3.950390719,5.567764363
U77-L7 ,31.83596891,48,5.642337185,6.92820323
U106-L7 ,31.1323764,73,5.579639451,8.544003745
U39-M5 ,16.08045977,31,4.010044859,5.567764363
L31-M5 ,70.22357724,30,8.379950909,5.477225575
