cross,miles,fert_s,fert_o,,,,,,,,,,,
L-L (n=6),0,30.56,30.56,,,L-L (n=6),0,30.56,30.56,,M-M (n=2),0,32.57,32.57
M-L (n=6),30,60.04,22.54,,,M-L (n=6),30,60.04,22.54,,M-L (n=6),30,60.04,22.54
U-L (n=12),90,24.38,31.27,,,U-L (n=12),90,24.38,31.27,,M-U (n=8),30,51.4,17.45
B-L (n=3),160,85.92,35.44,,,B-L (n=3),160,85.92,35.44,,M-B (n=2),120,80.74,43
U-U (n=10),0,24.88,24.88,,,L-L (n=6),0,30.56,30.56,,M-M (n=2),0,32.57,32.57
M-U (n=8),30,51.4,17.45,,,L-U (n=12),90,31.27,24.38,,L-M (n=6),30,22.54,60.04
B-U (n=4),80,36.73,16.48,,,L-M (n=6),30,22.54,60.04,,U-M (n=8),50,17.45,51.4
L-U (n=12),90,31.27,24.38,,,L-B (n=3),160,35.44,85.92,,B-M (n=2),120,43,80.74
M-M (n=2),0,32.57,32.57,,,,,,,,,,,
L-M (n=6),30,22.54,60.04,,,U-U (n=10),0,24.88,24.88,,B-L (n=3),160,85.92,35.44
U-M (n=8),50,17.45,51.4,,,U-L (n=12),90,24.38,31.27,,B-U (n=4),80,36.73,16.48
B-M (n=2),120,43,80.74,,,U-M (n=8),50,17.45,51.4,,B-M (n=2),120,43,80.74
U-B (n=4),80,16.48,36.73,,,U-B (n=4),80,16.48,36.73,,U-B (n=4),80,16.48,36.73
M-B (n=2),120,80.74,43,,,U-U (n=10),0,24.88,24.88,,M-B (n=2),120,80.74,43
L-B (n=3),160,35.44,85.92,,,M-U (n=8),30,51.4,17.45,,L-B (n=3),160,35.44,85.92
,,,,,,B-U (n=4),80,36.73,16.48,,,,,
,,,,,,L-U (n=12),90,31.27,24.38,,,,,
