cross,fert,mi,fert_sq,mi_sq,mi_sqrt,mi_ln
B8-U38,98.37398374,58,9677.440677,3364,7.615773106,4.189654742
U50-B8,87.17634567,59,7599.715244,3481,7.681145748,4.204692619
U94-B8,88.80461954,68,7886.260452,4624,8.246211251,3.988984047
U38-U50,64.12309368,1,4111.771143,1,1,0
U38-U94,50.39650538,14,2539.807754,196,3.741657387,2.63905733
U50-U94,37.47303622,15,1404.228444,225,3.872983346,2.708050201
U38-B8,79.12898059,58,6261.395569,3364,7.615773106,4.189654742
B8-U50,71.64005648,59,5132.297692,3481,7.681145748,4.204692619
B8-U94,83.68451449,68,7003.097966,4624,8.246211251,3.988984047
U50-U38,96.48926237,1,9310.177753,1,1,0
U94-U38,90.4885549,14,8188.178569,196,3.741657387,2.63905733
U94-U50,65.40308691,15,4277.563777,225,3.872983346,2.708050201
