cross,fert,mi,fert_sq,mi_sq,mi_sqrt,mi_ln
U24-U94,79.48637317,30,6318.08352,900,5.477225575,3.401197382
U94-U24,23.73305615,30,563.2579542,900,5.477225575,3.401197382
U24-M13,73.62463925,18,5420.587505,324,4.242640687,2.890371758
M13-U24,67.92464187,18,4613.756973,324,4.242640687,2.890371758
U24-U50,71.94211018,15,5175.667217,225,3.872983346,2.708050201
U50-U24,57.44650543,15,3300.100986,225,3.872983346,2.708050201
U24-U32,63.04893194,15,3975.167819,225,3.872983346,2.708050201
U32-U24,88.47753543,15,7828.274276,225,3.872983346,2.708050201
U24-U12,37.49503431,12,1405.877598,144,3.464101615,2.48490665
U12-U24,79.62831187,12,6340.668051,144,3.464101615,2.48490665
U24-U16,78.06823217,26,6094.648874,676,5.099019514,3.258096538
U16-U24,82.81196785,26,6857.822019,676,5.099019514,3.258096538
U24-U4,54.30542167,16,2949.078823,256,4,2.772588722
U4-U24,34.85380117,16,1214.787456,256,4,2.772588722
U94-M13,54.91587944,47,3015.753815,2209,6.8556546,3.850147602
M13-U94,80,47,6400,2209,6.8556546,3.850147602
U94-U50,78.56084078,15,6171.805704,225,3.872983346,2.708050201
U50-U94,25.75078238,15,663.1027932,225,3.872983346,2.708050201
U94-U32,4.640593657,15,21.53510949,225,3.872983346,2.708050201
U32-U94,3.558980004,15,12.66633867,225,3.872983346,2.708050201
U94-U12,19.32789433,18,373.5674992,324,4.242640687,2.890371758
U12-U94,88.44086022,18,7821.785756,324,4.242640687,2.890371758
U94-U16,66.31701632,3,4397.946654,9,1.732050808,1.098612289
U16-U94,76.93722944,3,5919.337274,9,1.732050808,1.098612289
U94-U4,84.45578231,14,7132.779166,196,3.741657387,2.63905733
U4-U94,61.94026892,14,3836.596914,196,3.741657387,2.63905733
M13-U50,82.56334497,33,6816.705933,1089,5.744562647,3.496507561
U50-M13,65.4382248,33,4282.161265,1089,5.744562647,3.496507561
M13-U32,61.11291486,33,3734.788363,1089,5.744562647,3.496507561
U32-M13,99.14529915,33,9829.790344,1089,5.744562647,3.496507561
M13-U12,48.16249429,30,2319.625856,900,5.477225575,3.401197382
U12-M13,97.71011396,30,9547.26637,900,5.477225575,3.401197382
M13-U16,79.40161572,44,6304.616579,1936,6.633249581,3.784189634
U16-M13,71.3221824,44,5086.853702,1936,6.633249581,3.784189634
M13-U4,74.89020641,33,5608.543016,1089,5.744562647,3.496507561
U4-M13,85.62573099,33,7331.765808,1089,5.744562647,3.496507561
U50-U32,38.56214428,1,1487.038971,1,1,0
U32-U50,82.00418629,1,6724.686569,1,1,0
U50-U12,18.8730341,3,356.1914161,9,1.732050808,1.098612289
U12-U50,77.27272727,3,5971.07438,9,1.732050808,1.098612289
U50-U16,40.65711391,12,1653.000911,144,3.464101615,2.48490665
U16-U50,68.86353203,12,4742.186044,144,3.464101615,2.48490665
U50-U4,42.67406104,2,1821.075486,4,1.414213562,0.693147181
U4-U50,76.52474783,2,5856.03703,4,1.414213562,0.693147181
U32-U12,69.88176698,3,4883.461356,9,1.732050808,1.098612289
U12-U32,69.31450946,3,4804.501222,9,1.732050808,1.098612289
U32-U16,89.21460057,11,7959.244955,121,3.31662479,2.397895273
U16-U32,54.01213739,11,2917.310985,121,3.31662479,2.397895273
U32-U4,75.24748511,1,5662.184015,1,1,0
U4-U32,46.15157174,1,2129.967574,1,1,0
U12-U16,84.52380952,15,7144.274376,225,3.872983346,2.708050201
U16-U12,40.72032559,15,1658.144916,225,3.872983346,2.708050201
U12-U4,6.184055446,4,38.24254176,16,2,1.386294361
U4-U12,7.250438967,4,52.56886521,16,2,1.386294361
U16-U4,80.76907001,11,6523.64267,121,3.31662479,2.397895273
U4-U16,48.24738614,11,2327.810269,121,3.31662479,2.397895273
