cross,fert,mi,fert_sqrt,mi_sqrt,mi_sq,mi_ln
L31-L56,9.78,3,3.127299154,1.732050808,27,1.098612289
L31-U94,33.77,76,5.81119609,8.717797887,438976,4.33073334
L31-M2,37.5,31,6.123724357,5.567764363,29791,3.433987204
L31-M8,56.79,29,7.535914012,5.385164807,24389,3.36729583
L56-U94,38.42,73,6.198386887,8.544003745,389017,4.290459441
L56-M2,37.84,28,6.1514226,5.291502622,21952,3.33220451
L56-M8,95.8,26,9.787747443,5.099019514,17576,3.258096538
U94-M2,38.36,45,6.193545027,6.708203932,91125,3.80666249
U94-M8,83.08,47,9.114823092,6.8556546,103823,3.850147602
M2-M8,44.79,2,6.692533153,1.414213562,8,0.693147181
L56-L31,75.11,3,8.666602564,1.732050808,27,1.098612289
U94-L31,67.96,76,8.243785538,8.717797887,438976,4.33073334
M2-L31,29.41,31,5.423098745,5.567764363,29791,3.433987204
M8-L31,11.45,29,3.383784863,5.385164807,24389,3.36729583
U94-L56,19,73,4.358898944,8.544003745,389017,4.290459441
M2-L56,6.55,28,2.559296778,5.291502622,21952,3.33220451
M8-L56,3.79,26,1.946792233,5.099019514,17576,3.258096538
M2-U94,34.81,45,5.9,6.708203932,91125,3.80666249
M8-U94,17.71,47,4.208325083,6.8556546,103823,3.850147602
M8-M2,0.58,2,0.761577311,1.414213562,8,0.693147181
