cross,fert,mi,fert_ln,fert_sqrt,fert_sq,mi_sq,mi_sqrt,mi_ln
U24-U94,79.48637317,30,4.3755856,8.915513063,6318.08352,900,5.477225575,3.401197382
U94-U24,23.73305615,30,3.166868851,4.87165846,563.2579542,900,5.477225575,3.401197382
U24-M13,73.62463925,18,4.298979742,8.580480129,5420.587505,324,4.242640687,2.890371758
M13-U24,67.92464187,18,4.218398883,8.241640727,4613.756973,324,4.242640687,2.890371758
U24-U50,71.94211018,15,4.27586177,8.481869498,5175.667217,225,3.872983346,2.708050201
U50-U24,57.44650543,15,4.050854174,7.579347296,3300.100986,225,3.872983346,2.708050201
U24-U32,63.04893194,15,4.143911122,7.940335757,3975.167819,225,3.872983346,2.708050201
U32-U24,88.47753543,15,4.482748683,9.406249807,7828.274276,225,3.872983346,2.708050201
U24-U12,37.49503431,12,3.624208506,6.123318897,1405.877598,144,3.464101615,2.48490665
U12-U24,79.62831187,12,4.377369706,8.923469721,6340.668051,144,3.464101615,2.48490665
U24-U16,78.06823217,26,4.357583216,8.835622908,6094.648874,676,5.099019514,3.258096538
U16-U24,82.81196785,26,4.41657259,9.100108123,6857.822019,676,5.099019514,3.258096538
U24-U4,54.30542167,16,3.994624069,7.369221239,2949.078823,256,4,2.772588722
U4-U24,34.85380117,16,3.551162204,5.903710797,1214.787456,256,4,2.772588722
U94-M13,54.91587944,47,4.00580255,7.41052491,3015.753815,2209,6.8556546,3.850147602
M13-U94,80,47,4.382026635,8.94427191,6400,2209,6.8556546,3.850147602
U94-U50,78.56084078,15,4.363873366,8.863455352,6171.805704,225,3.872983346,2.708050201
U50-U94,25.75078238,15,3.24846501,5.074522872,663.1027932,225,3.872983346,2.708050201
U94-U32,4.640593657,15,1.534842301,2.154203718,21.53510949,225,3.872983346,2.708050201
U32-U94,3.558980004,15,1.269473988,1.886525909,12.66633867,225,3.872983346,2.708050201
U94-U12,19.32789433,18,2.961549355,4.396350115,373.5674992,324,4.242640687,2.890371758
U12-U94,88.44086022,18,4.482334083,9.404300092,7821.785756,324,4.242640687,2.890371758
U94-U16,66.31701632,3,4.194446521,8.143526037,4397.946654,9,1.732050808,1.098612289
U16-U94,76.93722944,3,4.342989887,8.771386974,5919.337274,9,1.732050808,1.098612289
U94-U4,84.45578231,14,4.436228111,9.189982715,7132.779166,196,3.741657387,2.63905733
U4-U94,61.94026892,14,4.126170516,7.870214033,3836.596914,196,3.741657387,2.63905733
M13-U50,82.56334497,33,4.413565817,9.086437419,6816.705933,1089,5.744562647,3.496507561
U50-M13,65.4382248,33,4.181106565,8.089389643,4282.161265,1089,5.744562647,3.496507561
M13-U32,61.11291486,33,4.112723216,7.817474967,3734.788363,1089,5.744562647,3.496507561
U32-M13,99.14529915,33,4.596586442,9.957173251,9829.790344,1089,5.744562647,3.496507561
M13-U12,48.16249429,30,3.874580591,6.939920337,2319.625856,900,5.477225575,3.401197382
