cross,fert,mi,fert_ln,fert_sqrt,fert_sq,mi_sq,mi_sqrt,mi_ln
L31-L56,9.78,3,2.280339484,3.127299154,95.6484,9,1.732050808,1.098612289
L31-U94,33.77,76,3.519572834,5.81119609,1140.4129,5776,8.717797887,4.33073334
L31-M2,37.5,31,3.624340933,6.123724357,1406.25,961,5.567764363,3.433987204
L31-M8,56.79,29,4.039360254,7.535914012,3225.1041,841,5.385164807,3.36729583
L56-U94,38.42,73,3.648578157,6.198386887,1476.0964,5329,8.544003745,4.290459441
L56-M2,37.84,28,3.633366744,6.1514226,1431.8656,784,5.291502622,3.33220451
L56-M8,95.8,26,4.562262685,9.787747443,9177.64,676,5.099019514,3.258096538
U94-M2,38.36,45,3.64701525,6.193545027,1471.4896,2025,6.708203932,3.80666249
U94-M8,83.08,47,4.419803999,9.114823092,6902.2864,2209,6.8556546,3.850147602
M2-M8,44.79,2,3.8019849,6.692533153,2006.1441,4,1.414213562,0.693147181
L56-L31,75.11,3,4.318953706,8.666602564,5641.5121,9,1.732050808,1.098612289
U94-L31,67.96,76,4.218919297,8.243785538,4618.5616,5776,8.717797887,4.33073334
M2-L31,29.41,31,3.381334753,5.423098745,864.9481,961,5.567764363,3.433987204
M8-L31,11.45,29,2.43798973,3.383784863,131.1025,841,5.385164807,3.36729583
U94-L56,19,73,2.944438979,4.358898944,361,5329,8.544003745,4.290459441
M2-L56,6.55,28,1.87946505,2.559296778,42.9025,784,5.291502622,3.33220451
M8-L56,3.79,26,1.332366019,1.946792233,14.3641,676,5.099019514,3.258096538
M2-U94,34.81,45,3.549904702,5.9,1211.7361,2025,6.708203932,3.80666249
M8-U94,17.71,47,2.874129452,4.208325083,313.6441,2209,6.8556546,3.850147602
M8-M2,0.58,2,-0.544727175,0.761577311,0.3364,4,1.414213562,0.693147181
K1-B8 ,2.732240437,67,1.005121946,1.652949012,7.465137806,4489,8.185352772,4.204692619
K1-L1 ,27.52689497,55,3.315163526,5.246607949,757.7299467,3025,7.416198487,4.007333185
K1-L7 ,20.38162783,63,3.014633899,4.514601625,415.410753,3969,7.937253933,4.143134726
K1-M5 ,59.0104789,32,4.077715037,7.681827836,3482.23662,1024,5.656854249,3.465735903
K1-U39 ,43.95839817,2,3.783243691,6.630112983,1932.34077,4,1.414213562,0.693147181
K1-L31 ,31.1887019,62,3.440055911,5.584684584,972.7351262,3844,7.874007874,4.127134385
K1-M13 ,50.22544283,33,3.916521728,7.086991098,2522.595107,1089,5.744562647,3.496507561
K1-U77 ,0.916573139,16,-0.087113412,0.957378263,0.840106319,256,4,2.772588722
K1-U106 ,10.61119197,10,2.36190929,3.257482459,112.597395,100,3.16227766,2.302585093
B8-L1 ,34.21652422,111,3.532708692,5.849489227,1170.77053,12321,10.53565375,4.709530201
B8-L7 ,28.15965427,117,3.337890254,5.306567089,792.9661286,13689,10.81665383,4.762173935
B8-M5 ,86.76470588,93,4.463199925,9.314757425,7528.114186,8649,9.643650761,4.532599493
B8-U39 ,50.48993722,69,3.921774053,7.105627152,2549.23376,4761,8.306623863,4.234106505
B8-L31 ,43.94851738,118,3.783018889,6.629367796,1931.47218,13924,10.86278049,4.770684624
B8-M13 ,74.72222222,94,4.313777534,8.644201653,5583.410493,8836,9.695359715,4.543294782
B8-U77 ,1.36009636,81,0.30755555,1.166231692,1.849862108,6561,9,4.394449155
B8-U106 ,13.52699408,58,2.60468725,3.677906209,182.9795688,3364,7.615773106,4.060443011
L1-L7 ,16.78018278,9,2.820198594,4.09636214,281.5745341,81,3,2.197224577
L1-M5 ,54.0347664,23,3.989627662,7.350834402,2919.75598,529,4.795831523,3.135494216
L1-U39 ,23.93673195,53,3.175414181,4.892517956,572.9671364,2809,7.280109889,3.970291914
L1-L31 ,34.87716084,7,3.551832198,5.905688854,1216.416348,49,2.645751311,1.945910149
L1-M13 ,55.80884318,22,4.021932337,7.470531653,3114.626977,484,4.69041576,3.091042453
L1-U77 ,9.486701363,39,2.249890961,3.080048922,89.99750275,1521,6.244997998,3.663561646
L1-U106 ,12.42724868,64,2.519891536,3.525230302,154.4365098,4096,8,4.158883083
L7-M5 ,61.41287486,32,4.117619501,7.836636706,3771.541199,1024,5.656854249,3.465735903
L7-U39 ,33.72643617,62,3.518281986,5.807446614,1137.472497,3844,7.874007874,4.127134385
L7-L31 ,46.82125604,3,3.846337289,6.842605939,2192.230017,9,1.732050808,1.098612289
L7-M13 ,60.70572175,31,4.106037956,7.791387665,3685.184653,961,5.567764363,3.433987204
L7-U77 ,16.57236842,48,2.807736755,4.070917393,274.643395,2304,6.92820323,3.871201011
L7-U106 ,7.848897135,73,2.06037303,2.801588324,61.60518624,5329,8.544003745,4.290459441
M5-U39 ,23.92810791,31,3.175053831,4.891636527,572.5543482,961,5.567764363,3.433987204
M5-L31 ,29.40907331,30,3.381303243,5.423013305,864.893593,900,5.477225575,3.401197382
M5-M13 ,33.00803159,1,3.496750913,5.745261664,1089.530149,1,1,0
M5-U77 ,11.99331898,16,2.484349743,3.463137159,143.8397002,256,4,2.772588722
M5-U106 ,6.807181889,42,1.917978215,2.609057663,46.33772527,1764,6.480740698,3.737669618
U39-L31 ,29.78783321,61,3.394100029,5.45782312,887.3150073,3721,7.810249676,4.110873864
U39-M13 ,32.87659201,32,3.492760915,5.733811299,1080.870302,1024,5.656854249,3.465735903
U39-U77 ,16.8396867,15,2.823738404,4.103618732,283.5750482,225,3.872983346,2.708050201
U39-U106 ,8.912037037,12,2.187402839,2.985303508,79.42440415,144,3.464101615,2.48490665
L31-M13 ,58.08080808,29,4.061835284,7.62107657,3373.380267,841,5.385164807,3.36729583
L31-U77 ,21.88548538,46,3.085823649,4.678192533,478.9744703,2116,6.782329983,3.828641396
L31-U106 ,28.36246201,72,3.345066511,5.325641934,804.4292513,5184,8.485281374,4.276666119
M13-U77 ,15.76035782,17,2.757497788,3.969931715,248.3888786,289,4.123105626,2.833213344
M13-U106 ,14.00759734,43,2.63959985,3.742672486,196.2127832,1849,6.557438524,3.761200116
U77-U106 ,25.18199234,27,3.226129149,5.018166233,634.1327382,729,5.196152423,3.295836866
B8-K1 ,0.529100529,67,-0.636576829,0.727392967,0.27994737,4489,8.185352772,4.204692619
L1-K1 ,18.36572152,55,2.910485966,4.285524649,337.299727,3025,7.416198487,4.007333185
L7-K1 ,41.44728238,63,3.724422316,6.437956382,1717.877217,3969,7.937253933,4.143134726
M5-K1 ,16.45210728,32,2.800453571,4.056119732,270.671834,1024,5.656854249,3.465735903
U39-K1 ,19.17177629,2,2.953439213,4.3785587,367.5570061,4,1.414213562,0.693147181
L31-K1 ,33.30174656,62,3.505609845,5.770766549,1109.006324,3844,7.874007874,4.127134385
M13-K1 ,25.14619883,33,3.224706745,5.014598571,632.3313156,1089,5.744562647,3.496507561
U77-K1 ,1.537176274,16,0.429947145,1.239829131,2.362910897,256,4,2.772588722
U106-K1 ,39.91013072,10,3.686630194,6.317446535,1592.818534,100,3.16227766,2.302585093
L1-B8 ,78.81241565,111,4.367070543,8.877635702,6211.396861,12321,10.53565375,4.709530201
L7-B8 ,91.99284512,117,4.521710804,9.591290065,8462.683553,13689,10.81665383,4.762173935
M5-B8 ,47.81754799,93,3.867392685,6.915023354,2286.517896,8649,9.643650761,4.532599493
U39-B8 ,60.66531685,69,4.105372148,7.788794313,3680.280669,4761,8.306623863,4.234106505
L31-B8 ,86.94388049,118,4.465262859,9.324370246,7559.238355,13924,10.86278049,4.770684624
M13-B8 ,38.17805777,94,3.642260947,6.178839516,1457.564095,8836,9.695359715,4.543294782
U77-B8 ,0.529100529,81,-0.636576829,0.727392967,0.27994737,6561,9,4.394449155
U106-B8 ,82.99341682,58,4.418761289,9.110072273,6887.907235,3364,7.615773106,4.060443011
L7-L1 ,31.52875587,9,3.450900014,5.615047272,994.0624467,81,3,2.197224577
M5-L1 ,23.19790538,23,3.144061989,4.816420391,538.142814,529,4.795831523,3.135494216
U39-L1 ,27.93317793,53,3.329815155,5.285184758,780.2624293,2809,7.280109889,3.970291914
L31-L1 ,28.82498058,7,3.361242392,5.36889007,830.8795054,49,2.645751311,1.945910149
M13-L1 ,21.41614221,22,3.064144947,4.627757795,458.6511472,484,4.69041576,3.091042453
U77-L1 ,34.5190175,39,3.541510404,5.875288716,1191.562569,1521,6.244997998,3.663561646
U106-L1 ,32.62626263,64,3.485117566,5.711940356,1064.473013,4096,8,4.158883083
M5-L7 ,12.19047619,32,2.500655007,3.491486244,148.6077097,1024,5.656854249,3.465735903
U39-L7 ,16.01909995,62,2.773781757,4.002386782,256.6115632,3844,7.874007874,4.127134385
L31-L7 ,24.53383616,3,3.200053233,4.953164257,601.9091167,9,1.732050808,1.098612289
M13-L7 ,15.60558683,31,2.74762898,3.950390719,243.5343403,961,5.567764363,3.433987204
U77-L7 ,31.83596891,48,3.460596748,5.642337185,1013.528916,2304,6.92820323,3.871201011
U106-L7 ,31.1323764,73,3.438248319,5.579639451,969.2248603,5329,8.544003745,4.290459441
U39-M5 ,16.08045977,31,2.777604856,4.010044859,258.5811864,961,5.567764363,3.433987204
L31-M5 ,70.22357724,30,4.251684113,8.379950909,4931.3508,900,5.477225575,3.401197382
M13-M5 ,32.14098979,1,3.470132156,5.669302408,1033.043225,1,1,0
U77-M5 ,77.89767379,16,4.355396091,8.825965884,6068.047582,256,4,2.772588722
U106-M5 ,48.37094586,42,3.878899341,6.954922419,2339.748403,1764,6.480740698,3.737669618
L31-U39 ,45.15669516,61,3.810138556,6.719873151,2039.127118,3721,7.810249676,4.110873864
M13-U39 ,25.49223417,32,3.238373863,5.048983479,649.854003,1024,5.656854249,3.465735903
U77-U39 ,51.13378685,15,3.93444547,7.150789247,2614.664158,225,3.872983346,2.708050201
U106-U39 ,52.44278046,12,3.959722679,7.241738773,2750.245222,144,3.464101615,2.48490665
M13-L31 ,33.3974359,29,3.508479128,5.779051471,1115.388725,841,5.385164807,3.36729583
U77-L31 ,49.98481823,46,3.911719324,7.069994217,2498.482053,2116,6.782329983,3.828641396
U106-L31 ,42.33875587,72,3.745702881,6.506823793,1792.570249,5184,8.485281374,4.276666119
U77-M13 ,60.37131196,17,4.100514025,7.769897809,3644.695308,289,4.123105626,2.833213344
U106-M13 ,66.3823178,43,4.195430723,8.147534461,4406.612117,1849,6.557438524,3.761200116
U106-U77 ,39.50734471,27,3.676486597,6.285486832,1560.830286,729,5.196152423,3.295836866
