cross1,cross2,fert,time,fert_sq
BA,U38-B8,81.03448276,1,6566.587396
BA,U38-B8,87.5,2,7656.25
BA,U38-B8,68.85245902,3,4740.661113
CA,U50-B8,85.71428571,4,7346.938775
CA,U50-B8,84.90566038,5,7208.971165
CA,U50-B8,90.90909091,6,8264.46281
DA,U94-B8,96.49122807,7,9310.557094
DA,U94-B8,95.45454545,8,9111.570247
DA,U94-B8,74.46808511,9,5545.4957
AB,B8-U38,100,10,10000
AB,B8-U38,100,11,10000
AB,B8-U38,95.12195122,12,9048.185604
CB,U50-U38,98.03921569,13,9611.687813
CB,U50-U38,97.14285714,14,9436.734693
CB,U50-U38,94.28571429,15,8889.795919
DB,U94-U38,90.625,16,8212.890625
DB,U94-U38,83.87096774,17,7034.33923
DB,U94-U38,96.96969697,18,9403.12213
AC,B8-U50,68.18181818,19,4648.76033
AC,B8-U50,82.22222222,20,6760.493827
AC,B8-U50,64.51612903,21,4162.330905
BC,U38-U50,52.5,22,2756.25
BC,U38-U50,72.22222222,23,5216.049382
BC,U38-U50,67.64705882,24,4576.124567
DC,U94-U50,64.70588235,25,4186.851211
DC,U94-U50,78.37837838,26,6143.170197
DC,U94-U50,53.125,27,2822.265625
AD,B8-U94,76.19047619,28,5804.988662
AD,B8-U94,90.14084507,29,8125.37195
AD,B8-U94,84.72222222,30,7177.854938
BD,U38-U94,40,31,1600
BD,U38-U94,53.125,32,2822.265625
BD,U38-U94,58.06451613,33,3371.488033
CD,U50-U94,43.75,34,1914.0625
CD,U50-U94,36.92307692,35,1363.313609
CD,U50-U94,31.74603175,36,19:27
