cross,fert,time
U94-U24,38.29787234,1
U94-U24,17.64705882,2
U94-U24,15.25423729,3
M13-U24,56.33802817,4
M13-U24,66.66666667,5
M13-U24,80.76923077,6
U50-U24,80.55555556,7
U50-U24,42.55319149,8
U50-U24,49.23076923,9
U32-U24,87.09677419,10
U32-U24,91.37931034,11
U32-U24,86.95652174,12
U12-U24,92.30769231,13
U12-U24,57.44680851,14
U12-U24,89.13043478,15
U16-U24,81.69014085,16
U16-U24,84.74576271,17
U16-U24,82,18
U4-U24,30,19
U4-U24,24.56140351,20
U4-U24,50,21
U24-U94,86.79245283,22
U24-U94,83.33333333,23
U24-U94,68.33333333,24
M13-U94,91.42857143,25
M13-U94,78.57142857,26
M13-U94,70,27
U50-U94,25.80645161,28
U50-U94,15.625,29
U50-U94,35.82089552,30
U32-U94,0,31
U32-U94,6.329113924,32
U32-U94,4.347826087,33
U12-U94,80,34
U12-U94,95,35
U12-U94,90.32258065,36
U16-U94,70.45454545,37
U16-U94,80.35714286,38
U16-U94,80,39
U4-U94,36.17021277,40
U4-U94,81.13207547,41
U4-U94,68.51851852,42
U24-M13,69.64285714,43
U24-M13,60.60606061,44
U24-M13,90.625,45
U94-M13,63.15789474,46
U94-M13,58,47
U94-M13,43.58974359,48
U50-M13,68.75,49
U50-M13,63.15789474,50
U50-M13,64.40677966,51
U32-M13,100,52
U32-M13,100,53
U32-M13,97.43589744,54
U12-M13,97.91666667,55
U12-M13,97.77777778,56
U12-M13,97.43589744,57
U16-M13,74.07407407,58
U16-M13,86.66666667,59
U16-M13,53.22580645,60
U4-M13,86,61
U4-M13,84.21052632,62
U4-M13,86.66666667,63
U24-U50,66.66666667,64
U24-U50,78.57142857,65
U24-U50,70.58823529,66
U94-U50,86.66666667,67
U94-U50,79.66101695,68
U94-U50,69.35483871,69
M13-U50,83.33333333,70
M13-U50,78.08219178,71
M13-U50,86.2745098,72
U32-U50,88.46153846,73
U32-U50,77.55102041,74
U32-U50,80,75
U12-U50,80,76
U12-U50,77.27272727,77
U12-U50,74.54545455,78
U16-U50,76.92307692,79
U16-U50,49.27536232,80
U16-U50,80.39215686,81
U4-U50,82.14285714,82
U4-U50,61.2244898,83
U4-U50,86.20689655,84
U24-U32,55.73770492,85
U24-U32,62.5,86
U24-U32,70.90909091,87
U94-U32,7.594936709,88
U94-U32,1.639344262,89
U94-U32,4.6875,90
M13-U32,43.75,91
M13-U32,77.92207792,92
M13-U32,61.66666667,93
U50-U32,35.61643836,94
U50-U32,50.56179775,95
U50-U32,29.50819672,96
U12-U32,60.97560976,97
U12-U32,81.69014085,98
U12-U32,65.27777778,99
U16-U32,54.6875,100
U16-U32,52.05479452,101
U16-U32,55.29411765,102
U4-U32,36.47058824,103
U4-U32,46.42857143,104
U4-U32,55.55555556,105
U24-U12,44.61538462,106
U24-U12,36.61971831,107
U24-U12,31.25,108
U94-U12,12.72727273,109
U94-U12,16.92307692,110
U94-U12,28.33333333,111
M13-U12,48.38709677,112
M13-U12,52.85714286,113
M13-U12,43.24324324,114
U50-U12,12.85714286,115
U50-U12,24.35897436,116
U50-U12,19.40298507,117
U32-U12,77.14285714,118
U32-U12,71.21212121,119
U32-U12,61.29032258,120
U16-U12,37.5,121
U16-U12,33.78378378,122
U16-U12,50.87719298,123
U4-U12,7.042253521,124
U4-U12,7.246376812,125
U4-U12,7.462686567,126
U24-U16,63.93442623,127
U24-U16,81.08108108,128
U24-U16,89.18918919,129
U94-U16,61.53846154,130
U94-U16,68.18181818,131
U94-U16,69.23076923,132
M13-U16,78.26086957,133
M13-U16,81.37254902,134
M13-U16,78.57142857,135
U50-U16,28.57142857,136
U50-U16,55.10204082,137
U50-U16,38.29787234,138
U32-U16,88.0952381,139
U32-U16,88.37209302,140
U32-U16,91.17647059,141
U12-U16,75,142
U12-U16,88.57142857,143
U12-U16,90,144
U4-U16,41.81818182,145
U4-U16,47.36842105,146
U4-U16,55.55555556,147
U24-U4,41.26984127,148
U24-U4,70.76923077,149
U24-U4,50.87719298,150
U94-U4,78.57142857,151
U94-U4,89.79591837,152
U94-U4,85,153
M13-U4,73.91304348,154
M13-U4,84.09090909,155
M13-U4,66.66666667,156
U50-U4,47.61904762,157
U50-U4,38.29787234,158
U50-U4,42.10526316,159
U32-U4,86.20689655,160
U32-U4,75.38461538,161
U32-U4,64.1509434,162
U12-U4,3.278688525,163
U12-U4,3.50877193,164
U12-U4,11.76470588,165
U16-U4,84,166
U16-U4,77.27272727,167
U16-U4,81.03448276,168
