cross,fert,time
HG1,0,1
HG2,0,2
HG3,1.587301587,3
IG1,17.54385965,4
IG2,19.64285714,5
IG3,17.91044776,6
JG1,39.0625,7
JG2,46.2962963,8
JG3,38.98305085,9
KG1,20.68965517,10
KG2,6.666666667,11
KG3,22,12
LG1,3.076923077,13
LG2,23.1884058,14
LG3,31.25,15
MG1,35,16
MG2,20.28985507,17
MG3,44.61538462,18
NG1,17.54385965,19
NG2,33.33333333,20
NG3,24.56140351,21
OG1,2.857142857,22
OG2,0,23
OG3,1.754385965,24
PG1,33.33333333,25
PG2,42.64705882,26
PG3 ,43.75,27
GH1,0,28
GH2,0,29
GH3,8.196721311,30
IH1,87.71929825,31
IH2,73.33333333,32
IH3,75.38461538,33
JH1,94.44444444,34
JH2,90.90909091,35
JH3,90.625,36
KH1,52.05479452,37
KH2,33.33333333,38
KH3,58.06451613,39
LH1,56.25,40
LH2,49.27536232,41
LH3,76.47058824,42
MH1,80.64516129,43
MH2,87.87878788,44
MH3,92.30769231,45
NH1,21.95121951,46
NH2,33.96226415,47
NH3,58.62068966,48
OH1,1.587301587,49
OH2,0,50
OH3,0,51
PH1,86.2745098,52
PH2,87.23404255,53
PH3,75.47169811,54
GI1,34.54545455,55
GI2,34.14634146,56
GI3,13.88888889,57
HI1,21.53846154,58
HI2,31.11111111,59
HI3,50,60
JI1,34.375,61
JI2,35.21126761,62
JI3,25,63
KI1,27.69230769,64
KI2,16.90140845,65
KI3,25,66
LI1,30.76923077,67
LI2,24.24242424,68
LI3,28.78787879,69
MI1,39.62264151,70
MI2,25.42372881,71
MI3,21.42857143,72
NI1,15.68627451,73
NI2,15.90909091,74
NI3,32.65306122,75
OI1,32.43243243,76
OI2,42.55319149,77
OI3,28.57142857,78
PI1,33.33333333,79
PI2,34.54545455,80
PI3,30,81
GJ1,6.382978723,82
GJ2,28.57142857,83
GJ3,26.19047619,84
HJ1,28.57142857,85
HJ2,24.65753425,86
HJ3,31.25,87
IJ1,2,88
IJ2,30.15873016,89
IJ3,18.18181818,90
KJ1,8,91
KJ2,6.12244898,92
KJ3,22.44897959,93
LJ1,19.23076923,94
LJ2,12.5,95
LJ3,16.32653061,96
MJ1,37.20930233,97
MJ2,10.81081081,98
MJ3,25.58139535,99
NJ1,6.666666667,100
NJ2,23.07692308,101
NJ3,17.07317073,102
OJ1,30.76923077,103
OJ2,39.02439024,104
OJ3,25.71428571,105
PJ1,31.57894737,106
PJ2,31.81818182,107
PJ3,30,108
GK1,73.91304348,109
GK2,37.20930233,110
GK3,65.90909091,111
HK1,90.38461538,112
HK2,85.29411765,113
HK3,84.61538462,114
IK1,65.71428571,115
IK2,17.54385965,116
IK3,78.84615385,117
JK1,83.78378378,118
JK2,47.36842105,119
JK3,53.08641975,120
LK1,6,121
LK2,17.24137931,122
LK3,25,123
MK1,73.17073171,124
MK2,62.5,125
MK3,75,126
NK1,40.90909091,127
NK2,23.25581395,128
NK3,32.25806452,129
OK1,75,130
OK2,81.08108108,131
OK3,77.6119403,132
PK1,46.66666667,133
PK2,39.62264151,134
PK3,58.82352941,135
GL1,44.70588235,136
GL2,40.74074074,137
GL3,46.42857143,138
HL1,47.82608696,139
HL2,42.10526316,140
HL3,61.53846154,141
IL1,19.35483871,142
IL2,32.14285714,143
IL3,20.3125,144
JL1,38.46153846,145
JL2,34.14634146,146
JL3,28.57142857,147
KL1,23.88059701,148
KL2,28.26086957,149
KL3,19.64285714,150
ML1,44.44444444,151
ML2,50,152
ML3,41.02564103,153
NL1,29.03225806,154
NL2,28,155
NL3,19.44444444,156
OL1,50,157
OL2,52.38095238,158
OL3,51.02040816,159
PL1,37.25490196,160
PL2,67.44186047,161
PL3,52.63157895,162
GM1,39.08045977,163
GM2,32.89473684,164
GM3,21.59090909,165
HM1,40.22988506,166
HM2,57.89473684,167
HM3,33.72093023,168
IM1,28.81355932,169
IM2,31.08108108,170
IM3,44.73684211,171
JM1,58,172
JM2,39.13043478,173
JM3,43.33333333,174
KM1,33.33333333,175
KM2,40.25974026,176
KM3,14.63414634,177
LM1,32.0754717,178
LM2,31.91489362,179
LM3,25.37313433,180
NM1,44.23076923,181
NM2,18.46153846,182
NM3,37.5,183
OM1,56.52173913,184
OM2,49.31506849,185
OM3,44.11764706,186
PM1,39.28571429,187
PM2,32.55813953,188
PM3 ,55.17241379,189
GN1,58.73015873,190
GN2,55.71428571,191
GN3,36.23188406,192
HN1,86.66666667,193
HN2,62.5,194
HN3,75,195
IN1,55.81395349,196
IN2,68.96551724,197
IN3,42.64705882,198
JN1,81.53846154,199
JN2,53.7037037,200
JN3,46.875,201
KN1,28.94736842,202
KN2,35.29411765,203
KN3,34.7826087,204
LN1,30.43478261,205
LN2,46.37681159,206
LN3,21.81818182,207
MN1,58.33333333,208
MN2,52.27272727,209
MN3,63.63636364,210
ON1,60.60606061,211
ON2,45.09803922,212
ON3,75.40983607,213
PN1,48.88888889,214
PN2 ,82.25806452,215
PN3,68,216
GO1,1.234567901,217
GO2,0,218
GO3,1.515151515,219
HO1,1.538461538,220
HO2,1.19047619,221
HO3,1.351351351,222
IO1,9.523809524,223
IO2,1.694915254,224
IO3,17.24137931,225
JO1,16,226
JO2,11.84210526,227
JO3,21.875,228
KO1,9.722222222,229
KO2,12.6984127,230
KO3,13.55932203,231
LO1,19.51219512,232
LO2,15.2173913,233
LO3,15.78947368,234
MO1,9.803921569,235
MO2,17.14285714,236
MO3,38.70967742,237
NO1,11.86440678,238
NO2,16.66666667,239
NO3,18.75,240
PO1,39.53488372,241
PO2,25.92592593,242
PO3,53.06122449,243
GP1,9.375,244
GP2,10.38961039,245
GP3,12.06896552,246
HP1,12.12121212,247
HP2,14.66666667,248
HP3,13.79310345,249
IP1,14.58333333,250
IP2,10,251
IP3,12.6984127,252
JP1,6.12244898,253
JP2,8.333333333,254
JP3,9.090909091,255
KP1,3.278688525,256
KP2,14.28571429,257
KP3,2.857142857,258
LP1,6.25,259
LP2,9.375,260
LP3,11.11111111,261
MP1,43.75,262
MP2,28.57142857,263
MP3,12.76595745,264
NP1,17.94871795,265
NP2,16.66666667,266
NP3,7.407407407,267
OP1,16.66666667,268
OP2,17.5,269
OP3,41.37931034,270
