cross,fert,time,fert_sq,fert_sqrt,fert_ln
02x01 ,92.29231819,1,8517.871998,9.606889101,4.524960912
07x01 ,92.40714697,2,8539.080811,9.61286362,4.526204324
04x01 ,93.41414844,4,8726.20313,9.665099505,4.537042816
01x02 ,76.57314398,5,5863.446379,8.750608206,4.338246414
07x02 ,80.5129717,6,6482.338612,8.972902078,4.388418311
09x02 ,76.61232979,7,5869.449075,8.752846953,4.338758027
04x02 ,91.38070696,8,8350.433604,9.559325654,4.515034373
09x02 ,76.61232979,9,5869.449075,8.752846953,4.338758027
01x07 ,84.18194617,10,7086.600062,9.175071998,4.432980482
02x07 ,76.8730496,11,5909.465756,8.767727733,4.342155355
09x07 ,84.39068673,12,7121.788007,9.186440373,4.435457049
04x07 ,91.09219115,13,8297.787288,9.54422292,4.511872083
01x04 ,94.35737013,14,8903.313297,9.713772188,4.547089384
02x04 ,90.71349276,15,8228.93777,9.524363116,4.507706109
07x04 ,93.87967824,16,8813.393987,9.689152607,4.542013944
09x04 ,96.0159324,17,9219.059275,9.798771984,4.56451414
