fert,time,fert_sq,fert_sqrt,fert_ln,Age
59.90393528,1,3588.481462,7.739763257,4.0927422,2:40
50.75395342,2,2575.963788,7.124180895,3.926989515,2:41
39.22425404,3,1538.542105,6.262926955,3.669295281,2:42
82.65942334,4,6832.580267,9.091722793,4.414728833,2:43
63.06631403,5,3977.359965,7.941430226,4.144186776,2:44
97.63962604,6,9533.496573,9.881276539,4.581283416,2:45
93.19905063,7,8686.063038,9.653965539,4.534737535,2:46
97.30805631,8,9468.857823,9.864484594,4.577881784,2:47
41.75945424,9,1743.852018,6.462155541,3.731925875,2:48
77.00455541,10,5929.701554,8.775223952,4.343864581,2:49
62.63411013,11,3923.031752,7.914171475,4.13731002,2:50
95.59838857,12,9139.051897,9.777442844,4.560155964,2:51
53.33887755,13,2845.035858,7.30334701,3.976665475,2:52
97.36250269,14,9479.45693,9.867243926,4.578441154,2:53
98.76724694,15,9754.969068,9.938171207,4.592766041,2:54
98.4729779,16,9696.927376,9.923355174,4.589782175,2:55
38.80916848,17,1506.151558,6.229700513,3.65865652,2:56
88.16411769,18,7772.911648,9.389574947,4.479200051,2:57
94.40404162,19,8912.123074,9.716174228,4.547583886,2:58
70.63838,20,4989.780729,8.404664181,4.257573623,2:59
92.29231819,21,8517.871998,9.606889101,4.524960912,3:00
92.40714697,22,8539.080811,9.61286362,4.526204324,3:01
93.41414844,23,8726.20313,9.665099505,4.537042816,3:02
76.57314398,24,5863.446379,8.750608206,4.338246414,3:03
80.5129717,25,6482.338612,8.972902078,4.388418311,3:04
76.61232979,26,5869.449075,8.752846953,4.338758027,3:05
91.38070696,27,8350.433604,9.559325654,4.515034373,3:06
76.61232979,28,5869.449075,8.752846953,4.338758027,3:07
84.18194617,29,7086.600062,9.175071998,4.432980482,3:08
76.8730496,30,5909.465756,8.767727733,4.342155355,3:09
84.39068673,31,7121.788007,9.186440373,4.435457049,3:10
91.09219115,32,8297.787288,9.54422292,4.511872083,3:11
94.35737013,33,8903.313297,9.713772188,4.547089384,3:12
90.71349276,34,8228.93777,9.524363116,4.507706109,3:13
93.87967824,35,8813.393987,9.689152607,4.542013944,3:14
96.0159324,36,9219.059275,9.798771984,4.56451414,3:15
95.72,37,9162.241941,9.783639436,4.561423091,3:16
93.94,38,8824.42443,9.692182811,4.54263933,3:17
94.5,39,8930.049734,9.721056547,4.548588622,3:18
93.5,40,8742.981791,9.66974215,4.538003288,3:19
92.68,41,8590.498528,9.627301922,4.529206025,3:20
96.04,42,9223.67664,9.799998683,4.564764502,3:21
96.64,43,9338.645762,9.830395151,4.570958264,3:22
97.79,44,9562.858781,9.888876101,4.582820998,3:23
93.53,45,8747.701514,9.67104689,4.53827313,3:24
94.76,46,8980.029424,9.734629791,4.551379219,3:25
83.16,47,6915.456327,9.119167875,4.420757116,3:26
80.84,48,6535.423352,8.991216007,4.392496203,3:27
1.41,49,1.977496065,1.185847676,0.340915715,3:28
68.45,50,4685.9922,8.273711827,4.226166477,3:29
97.24,51,9454.865841,9.860838425,4.577142396,3:30
96.23,52,9260.001428,9.809633082,4.566729741,3:31
91.31,53,8337.263221,9.555554158,4.514245145,3:32
92.63,54,8581.020724,9.624645398,4.528654075,3:33
96.33,55,9279.399204,9.814766337,4.567776041,3:34
95.74,56,9165.848334,9.78460204,4.561619859,3:35
90.77,58,8239.402975,9.527389841,4.508341583,3:36
94.86,60,8999.199974,9.739821005,4.55244548,3:37
95.69,61,9156.641502,9.782144026,4.561117371,3:38
95.29,62,9080.222907,9.761670125,4.55692701,3:39
93.01,63,8650.128849,9.643965413,4.532664748,3:40
91.57,64,8385.02029,9.569208766,4.517101047,3:41
92.98,65,8645.141132,9.64257492,4.532376362,3:42
89.09,67,7936.875482,9.438704543,4.48963748,3:43
90.13,69,8124.218339,9.493916258,4.501302399,3:44
92.59,70,8573.337558,9.622490276,4.528206191,3:45
89.99,71,8097.518903,9.486106423,4.499656493,3:46
90.43,72,8177.367867,9.509405869,4.504562801,3:47
7.21,73,51.98785647,2.685192824,1.975505081,3:48
7.37,74,54.31610525,2.714764462,1.99741039,3:49
53.72,75,2885.816679,7.329379089,3.983781608,3:50
51.5,76,2652.493338,7.176514645,3.941627679,3:51
46.23,77,2137.66197,6.799621802,3.833733987,3:52
67.09,78,4500.663045,8.19066427,4.205990004,3:53
68.54,79,4697.639187,8.278848099,4.22740768,3:54
59.97,80,3595.932209,7.743777642,4.093779272,3:55
58.34,81,3403.542921,7.638055468,4.066286102,3:56
84.49,82,7138.23038,9.19173807,4.436610089,3:57
