cross,fert,fert_sq,time
53-52,95.71960061,9162.241941,1
54-52,93.93840764,8824.42443,2
55-52,94.49894039,8930.049735,3
56-52,93.50391324,8742.981791,4
57-52,92.68494229,8590.498527,5
77-52,96.03997418,9223.67664,6
79-52,96.63666883,9338.645763,7
90-52,97.78987054,9562.85878,8
107-52,93.52914794,8747.701514,9
52-53,94.76301718,8980.029425,10
54-53,83.15922274,6915.456327,11
55-53,80.84196529,6535.423352,12
56-53,1.406234712,1.977496065,13
57-53,68.45430739,4685.9922,14
77-53,97.23613444,9454.865841,15
79-53,96.22890121,9260.001428,16
90-53,91.30861526,8337.263221,17
107-53,92.63379904,8581.020725,18
52-54,96.32963824,9279.399203,19
53-54,95.73843708,9165.848335,20
56-54,90.77115717,8239.402974,22
77-54,94.8641132,8999.199973,24
79-54,95.69034174,9156.641502,25
90-54,95.29020362,9080.222906,26
107-54,93.00606889,8650.12885,27
52-55,91.56975642,8385.020291,28
53-55,92.97925109,8645.141133,29
56-55,89.08914346,7936.875482,31
77-55,90.13444591,8124.21834,33
79-55,92.59231911,8573.337558,34
90-55,89.98621507,8097.518903,35
107-55,90.42879999,8177.367868,36
52-56,7.2102605,51.98785648,37
53-56,7.369946082,54.31610525,38
54-56,53.71979783,2885.816679,39
55-56,51.50236245,2652.493338,40
57-56,46.23485665,2137.661969,41
77-56,67.08698118,4500.663044,42
79-56,68.53932584,4697.639187,43
90-56,59.96609216,3595.932209,44
107-56,58.33989133,3403.54292,45
52-57 ,84.48804874,7138.23038,46
53-57,84.94773842,7216.118263,47
56-57,84.65294915,7166.1218,50
77-57,89.04418844,7928.867495,51
79-57,90.88790275,8260.610866,52
90-57,88.98881931,7919.009962,53
107-57,83.41740285,6958.463098,54
52-77,95.20751229,9064.470396,55
53-77,94.66867451,8962.157933,56
54-77,94.45417709,8921.59157,57
56-77,93.40501792,8724.497373,59
57-77,91.74688513,8417.490931,60
79-77,95.91649587,9199.97418,61
90-77,93.36961851,8717.885661,62
107-77,95.26675903,9075.755376,63
52-79,93.8736468,8812.261564,64
53-79,93.94089135,8824.891068,65
54-79 ,89.8957448,8081.244933,66
55-79,92.45885891,8548.640591,67
56-79,90.01070137,8101.926361,68
57-79,87.8067966,7710.033529,69
77-79,91.82535475,8431.895775,70
90-79,95.20158754,9063.34227,71
107-79,1.952003284,3.810316821,72
52-90,82.89495842,6871.574131,73
53-90,81.65979355,6668.321883,74
54-90 ,78.2491803,6122.934218,75
55-90,80.16367396,6426.214623,76
56-90,82.56721044,6817.34424,77
57-90,80.02422127,6403.87599,78
77-90,82.80286255,6856.314046,79
79-90,84.12924734,7077.730258,80
107-90,77.17590095,5956.119687,81
52-107,91.00076104,8281.13851,82
53-107,87.83429604,7714.863561,83
54-107 ,82.5877193,6820.731379,84
55-107,86.00461738,7396.794211,85
56-107,82.13292557,6745.817463,86
57-107,71.62841937,5130.630461,87
77-107,86.2791978,7444.099973,88
79-107,15.55884036,242.0775133,89
90-107,87.14665389,7594.539284,90
