cross,fert,time,clock,,,,,
HG1,0,201,4:05,,,,,
HG2,0,202,4:06,,,,,
HG3,1.587301587,203,4:06,,,,,
IG1,17.54385965,204,4:06,,,,,
IG2,19.64285714,205,4:07,,,,,
IG3,17.91044776,206,4:07,,,,,
JG1,39.0625,207,4:07,,,,,
JG2,46.2962963,208,4:10,,,,,
JG3,38.98305085,209,4:10,,,,,
KG1,20.68965517,210,4:11,,,,,
KG2,6.666666667,211,4:11,,,,,
KG3,22,212,4:11,,,,,
LG1,3.076923077,213,4:12,,,,,
LG2,23.1884058,214,4:12,,,,,
LG3,31.25,215,4:12,,,,,
MG1,35,216,4:13,,,,,
MG2,20.28985507,217,4:13,,,,,
MG3,44.61538462,218,4:13,,,,,
NG1,17.54385965,219,4:14,,,,,
NG2,33.33333333,220,4:14,,,,,
NG3,24.56140351,221,4:14,,,,,
OG1,2.857142857,222,4:15,,,,,
OG2,0,223,4:15,,,,,
OG3,1.754385965,224,4:15,,,,,
PG1,33.33333333,225,4:16,,,,,
PG2,42.64705882,226,4:16,,,,,
PG3 ,43.75,227,4:16,,,,,
GH1,0,228,4:17,,,,,
GH2,0,229,4:17,,,,,
GH3,8.196721311,230,4:17,,,,,
IH1,87.71929825,231,4:18,,,,,
IH2,73.33333333,232,4:18,,,,,
IH3,75.38461538,233,4:18,,,,,
JH1,94.44444444,234,4:19,,,,,
JH2,90.90909091,235,4:19,,,,,
JH3,90.625,236,4:19,,,,,
KH1,52.05479452,237,4:20,,,,,
KH2,33.33333333,238,4:20,,,,,
KH3,58.06451613,239,4:20,,,,,
LH1,56.25,240,4:21,,,,,
LH2,49.27536232,241,4:21,,,,,
LH3,76.47058824,242,4:21,,,,,
MH1,80.64516129,243,4:22,,,,,
MH2,87.87878788,244,4:22,,,,,
MH3,92.30769231,245,4:22,,,,,
NH1,21.95121951,246,4:23,,,,,
NH2,33.96226415,247,4:23,,,,,
NH3,58.62068966,248,4:23,,,,,
OH1,1.587301587,249,4:24,,,,,
OH2,0,250,4:24,,,,,
OH3,0,251,4:24,,,,,
PH1,86.2745098,252,4:25,,,,,
PH2,87.23404255,253,4:25,,,,,
PH3,75.47169811,254,4:25,,,,,
GI1,34.54545455,255,4:26,,,,,
GI2,34.14634146,256,4:26,,,,,
GI3,13.88888889,257,4:26,,,,,
HI1,21.53846154,258,4:27,,,,,
HI2,31.11111111,259,4:27,,,,,
HI3,50,260,4:27,,,,,
JI1,34.375,261,4:28,,,,,
JI2,35.21126761,262,4:28,,,,,
JI3,25,263,4:28,,,,,
KI1,27.69230769,264,4:29,,,,,
KI2,16.90140845,265,4:29,,,,,
KI3,25,266,4:29,,,,,
LI1,30.76923077,267,4:30,,,,,
LI2,24.24242424,268,4:30,,,,,
LI3,28.78787879,269,4:30,,,,,
MI1,39.62264151,270,4:31,,,,,
MI2,25.42372881,271,4:31,,,,,
MI3,21.42857143,272,4:31,,,,,
NI1,15.68627451,273,4:32,,,,,
NI2,15.90909091,274,4:32,,,,,
NI3,32.65306122,275,4:32,,,,,
OI1,32.43243243,276,4:33,,,,,
OI2,42.55319149,277,4:33,,,,,
OI3,28.57142857,278,4:33,,,,,
PI1,33.33333333,279,4:34,,,,,
PI2,34.54545455,280,4:34,,,,,
PI3,30,281,4:34,,,,,
GJ1,6.382978723,282,4:35,,,,,
GJ2,28.57142857,283,4:35,,,,,
GJ3,26.19047619,284,4:35,,,,,
HJ1,28.57142857,285,4:36,,,,,
HJ2,24.65753425,286,4:36,,,,,
HJ3,31.25,287,4:36,,,,,
IJ1,2,288,4:37,,,,,
IJ2,30.15873016,289,4:37,,,,,
IJ3,18.18181818,290,4:37,,,,,
KJ1,8,291,4:38,,,,,
KJ2,6.12244898,292,4:38,,,,,
KJ3,22.44897959,293,4:38,,,,,
LJ1,19.23076923,294,4:39,,,,,
LJ2,12.5,295,4:39,,,,,
LJ3,16.32653061,296,4:39,,,,,
MJ1,37.20930233,297,4:40,,,,,
MJ2,10.81081081,298,4:40,,,,,
MJ3,25.58139535,299,4:40,,,,,
NJ1,6.666666667,300,4:41,,,,,
NJ2,23.07692308,301,4:41,,,,,
NJ3,17.07317073,302,4:41,,,,,
OJ1,30.76923077,303,4:42,,,,,
OJ2,39.02439024,304,4:42,,,,,
OJ3,25.71428571,305,4:42,,,,,
PJ1,31.57894737,306,4:43,,,,,
PJ2,31.81818182,307,4:43,,,,,
PJ3,30,308,4:43,,,,,
GK1,73.91304348,309,4:44,,,,,
GK2,37.20930233,310,4:44,,,,,
GK3,65.90909091,311,4:44,,,,,
HK1,90.38461538,312,4:45,,,,,
HK2,85.29411765,313,4:45,,,,,
HK3,84.61538462,314,4:45,,,,,
IK1,65.71428571,315,4:46,,,,,
IK2,17.54385965,316,4:46,,,,,
