cross,fert,mi,fert_sq,mi_sq,fert_sqrt,mi_sqrt
L31-L56,9.78,3,95.6484,9,3.127299154,1.732050808
L31-U94,33.77,76,1140.4129,5776,5.81119609,8.717797887
L31-M2,37.5,31,1406.25,961,6.123724357,5.567764363
L31-M8,56.79,29,3225.1041,841,7.535914012,5.385164807
L56-U94,38.42,73,1476.0964,5329,6.198386887,8.544003745
L56-M2,37.84,28,1431.8656,784,6.1514226,5.291502622
L56-M8,95.8,26,9177.64,676,9.787747443,5.099019514
U94-M2,38.36,45,1471.4896,2025,6.193545027,6.708203932
U94-M8,83.08,47,6902.2864,2209,9.114823092,6.8556546
M2-M8,44.79,2,2006.1441,4,6.692533153,1.414213562
L56-L31,75.11,3,5641.5121,9,8.666602564,1.732050808
U94-L31,67.96,76,4618.5616,5776,8.243785538,8.717797887
M2-L31,29.41,31,864.9481,961,5.423098745,5.567764363
M8-L31,11.45,29,131.1025,841,3.383784863,5.385164807
U94-L56,19,73,361,5329,4.358898944,8.544003745
M2-L56,6.55,28,42.9025,784,2.559296778,5.291502622
M8-L56,3.79,26,14.3641,676,1.946792233,5.099019514
M2-U94,34.81,45,1211.7361,2025,5.9,6.708203932
M8-U94,17.71,47,313.6441,2209,4.208325083,6.8556546
M8-M2,0.58,2,0.3364,4,0.761577311,1.414213562
K1-B8 ,2.732240437,67,7.465137806,4489,1.652949012,8.185352772
K1-L1 ,27.52689497,55,757.7299467,3025,5.246607949,7.416198487
K1-L7 ,20.38162783,63,415.410753,3969,4.514601625,7.937253933
K1-M5 ,59.0104789,32,3482.23662,1024,7.681827836,5.656854249
K1-U39 ,43.95839817,2,1932.34077,4,6.630112983,1.414213562
K1-L31 ,31.1887019,62,972.7351262,3844,5.584684584,7.874007874
K1-M13 ,50.22544283,33,2522.595107,1089,7.086991098,5.744562647
K1-U77 ,0.916573139,16,0.840106319,256,0.957378263,4
K1-U106 ,10.61119197,10,112.597395,100,3.257482459,3.16227766
B8-L1 ,34.21652422,111,1170.77053,12321,5.849489227,10.53565375
B8-L7 ,28.15965427,117,792.9661286,13689,5.306567089,10.81665383
B8-M5 ,86.76470588,93,7528.114186,8649,9.314757425,9.643650761
B8-U39 ,50.48993722,69,2549.23376,4761,7.105627152,8.306623863
B8-L31 ,43.94851738,118,1931.47218,13924,6.629367796,10.86278049
B8-M13 ,74.72222222,94,5583.410493,8836,8.644201653,9.695359715
B8-U77 ,1.36009636,81,1.849862108,6561,1.166231692,9
B8-U106 ,13.52699408,58,182.9795688,3364,3.677906209,7.615773106
L1-L7 ,16.78018278,9,281.5745341,81,4.09636214,3
L1-M5 ,54.0347664,23,2919.75598,529,7.350834402,4.795831523
L1-U39 ,23.93673195,53,572.9671364,2809,4.892517956,7.280109889
L1-L31 ,34.87716084,7,1216.416348,49,5.905688854,2.645751311
L1-M13 ,55.80884318,22,3114.626977,484,7.470531653,4.69041576
L1-U77 ,9.486701363,39,89.99750275,1521,3.080048922,6.244997998
L1-U106 ,12.42724868,64,154.4365098,4096,3.525230302,8
L7-M5 ,61.41287486,32,3771.541199,1024,7.836636706,5.656854249
L7-U39 ,33.72643617,62,1137.472497,3844,5.807446614,7.874007874
L7-L31 ,46.82125604,3,2192.230017,9,6.842605939,1.732050808
L7-M13 ,60.70572175,31,3685.184653,961,7.791387665,5.567764363
L7-U77 ,16.57236842,48,274.643395,2304,4.070917393,6.92820323
L7-U106 ,7.848897135,73,61.60518624,5329,2.801588324,8.544003745
M5-U39 ,23.92810791,31,572.5543482,961,4.891636527,5.567764363
M5-L31 ,29.40907331,30,864.893593,900,5.423013305,5.477225575
M5-M13 ,33.00803159,1,1089.530149,1,5.745261664,1
M5-U77 ,11.99331898,16,143.8397002,256,3.463137159,4
M5-U106 ,6.807181889,42,46.33772527,1764,2.609057663,6.480740698
U39-L31 ,29.78783321,61,887.3150073,3721,5.45782312,7.810249676
U39-M13 ,32.87659201,32,1080.870302,1024,5.733811299,5.656854249
U39-U77 ,16.8396867,15,283.5750482,225,4.103618732,3.872983346
U39-U106 ,8.912037037,12,79.42440415,144,2.985303508,3.464101615
L31-M13 ,58.08080808,29,3373.380267,841,7.62107657,5.385164807
L31-U77 ,21.88548538,46,478.9744703,2116,4.678192533,6.782329983
L31-U106 ,28.36246201,72,804.4292513,5184,5.325641934,8.485281374
M13-U77 ,15.76035782,17,248.3888786,289,3.969931715,4.123105626
M13-U106 ,14.00759734,43,196.2127832,1849,3.742672486,6.557438524
U77-U106 ,25.18199234,27,634.1327382,729,5.018166233,5.196152423
B8-K1 ,0.529100529,67,0.27994737,4489,0.727392967,8.185352772
L1-K1 ,18.36572152,55,337.299727,3025,4.285524649,7.416198487
L7-K1 ,41.44728238,63,1717.877217,3969,6.437956382,7.937253933
M5-K1 ,16.45210728,32,270.671834,1024,4.056119732,5.656854249
U39-K1 ,19.17177629,2,367.5570061,4,4.3785587,1.414213562
L31-K1 ,33.30174656,62,1109.006324,3844,5.770766549,7.874007874
M13-K1 ,25.14619883,33,632.3313156,1089,5.014598571,5.744562647
U77-K1 ,1.537176274,16,2.362910897,256,1.239829131,4
U106-K1 ,39.91013072,10,1592.818534,100,6.317446535,3.16227766
L1-B8 ,78.81241565,111,6211.396861,12321,8.877635702,10.53565375
L7-B8 ,91.99284512,117,8462.683553,13689,9.591290065,10.81665383
M5-B8 ,47.81754799,93,2286.517896,8649,6.915023354,9.643650761
U39-B8 ,60.66531685,69,3680.280669,4761,7.788794313,8.306623863
L31-B8 ,86.94388049,118,7559.238355,13924,9.324370246,10.86278049
M13-B8 ,38.17805777,94,1457.564095,8836,6.178839516,9.695359715
U77-B8 ,0.529100529,81,0.27994737,6561,0.727392967,9
U106-B8 ,82.99341682,58,6887.907235,3364,9.110072273,7.615773106
L7-L1 ,31.52875587,9,994.0624467,81,5.615047272,3
M5-L1 ,23.19790538,23,538.142814,529,4.816420391,4.795831523
U39-L1 ,27.93317793,53,780.2624293,2809,5.285184758,7.280109889
L31-L1 ,28.82498058,7,830.8795054,49,5.36889007,2.645751311
M13-L1 ,21.41614221,22,458.6511472,484,4.627757795,4.69041576
U77-L1 ,34.5190175,39,1191.562569,1521,5.875288716,6.244997998
U106-L1 ,32.62626263,64,1064.473013,4096,5.711940356,8
M5-L7 ,12.19047619,32,148.6077097,1024,3.491486244,5.656854249
U39-L7 ,16.01909995,62,256.6115632,3844,4.002386782,7.874007874
L31-L7 ,24.53383616,3,601.9091167,9,4.953164257,1.732050808
M13-L7 ,15.60558683,31,243.5343403,961,3.950390719,5.567764363
U77-L7 ,31.83596891,48,1013.528916,2304,5.642337185,6.92820323
U106-L7 ,31.1323764,73,969.2248603,5329,5.579639451,8.544003745
U39-M5 ,16.08045977,31,258.5811864,961,4.010044859,5.567764363
L31-M5 ,70.22357724,30,4931.3508,900,8.379950909,5.477225575
M13-M5 ,32.14098979,1,1033.043225,1,5.669302408,1
U77-M5 ,77.89767379,16,6068.047582,256,8.825965884,4
U106-M5 ,48.37094586,42,2339.748403,1764,6.954922419,6.480740698
L31-U39 ,45.15669516,61,2039.127118,3721,6.719873151,7.810249676
M13-U39 ,25.49223417,32,649.854003,1024,5.048983479,5.656854249
U77-U39 ,51.13378685,15,2614.664158,225,7.150789247,3.872983346
U106-U39 ,52.44278046,12,2750.245222,144,7.241738773,3.464101615
M13-L31 ,33.3974359,29,1115.388725,841,5.779051471,5.385164807
U77-L31 ,49.98481823,46,2498.482053,2116,7.069994217,6.782329983
U106-L31 ,42.33875587,72,1792.570249,5184,6.506823793,8.485281374
U77-M13 ,60.37131196,17,3644.695308,289,7.769897809,4.123105626
U106-M13 ,66.3823178,43,4406.612117,1849,8.147534461,6.557438524
U106-U77 ,39.50734471,27,1560.830286,729,6.285486832,5.196152423
