cross,fert,sqrt,sq,ln,log
007-B8,2.732240437,1.652949012,7.465137806,1.005121946,0.436518915
007-025 ,27.52689497,5.246607949,757.7299467,3.315163526,1.439757226
007-028 ,20.38162783,4.514601625,415.410753,3.014633899,1.309238867
007-031 ,59.0104789,7.681827836,3482.23662,4.077715037,1.770929139
007-048,43.95839817,6.630112983,1932.34077,3.783243691,1.643041858
007-056,31.1887019,5.584684584,972.7351262,3.440055911,1.493997299
007-M13 ,50.22544283,7.086991098,2522.595107,3.916521728,1.700923775
007-104,0.916573139,0.957378263,0.840106319,-0.087113412,-0.037832874
007-121,10.61119197,3.257482459,112.597395,2.36190929,1.025764172
B8-025,34.21652422,5.849489227,1170.77053,3.532708692,1.534235891
B8-028,28.15965427,5.306567089,792.9661286,3.337890254,1.449627318
B8-031,86.76470588,9.314757425,7528.114186,4.463199925,1.938343099
B8-048,50.48993722,7.105627152,2549.23376,3.921774053,1.703204831
B8-056,43.94851738,6.629367796,1931.47218,3.783018889,1.642944229
B8-M13,74.72222222,8.644201653,5583.410493,4.313777534,1.873449779
B8-104,1.36009636,1.166231692,1.849862108,0.30755555,0.133569678
B8-121,13.52699408,3.677906209,182.9795688,2.60468725,1.1312013
025-028 ,16.78018278,4.09636214,281.5745341,2.820198594,1.224796687
025-031 ,54.0347664,7.350834402,2919.75598,3.989627662,1.732673278
025-048,23.93673195,4.892517956,572.9671364,3.175414181,1.379064856
025-056,34.87716084,5.905688854,1216.416348,3.551832198,1.542541124
025-M13 ,55.80884318,7.470531653,3114.626977,4.021932337,1.74670302
025-104,9.486701363,3.080048922,89.99750275,2.249890961,0.977115229
025-121 ,12.42724868,3.525230302,154.4365098,2.519891536,1.094374989
028-031 ,61.41287486,7.836636706,3771.541199,4.117619501,1.788259428
028-048 ,33.72643617,5.807446614,1137.472497,3.518281986,1.527970452
028-056 ,46.82125604,6.842605939,2192.230017,3.846337289,1.67044306
028-M13 ,60.70572175,7.791387665,3685.184653,4.106037956,1.783229627
028-104,16.57236842,4.070917393,274.643395,2.807736755,1.21938458
028-121,7.848897135,2.801588324,61.60518624,2.06037303,0.894808637
031-048,23.92810791,4.891636527,572.5543482,3.175053831,1.378908359
031-056,29.40907331,5.423013305,864.893593,3.381303243,1.46848134
031-M13 ,33.00803159,5.745261664,1089.530149,3.496750913,1.518619626
031-104 ,11.99331898,3.463137159,143.8397002,2.484349743,1.078939385
031-121,6.807181889,2.609057663,46.33772527,1.917978215,0.832967355
048-056,29.78783321,5.45782312,887.3150073,3.394100029,1.474038913
048-M13 ,32.87659201,5.733811299,1080.870302,3.492760915,1.516886792
048-104 ,16.8396867,4.103618732,283.5750482,2.823738404,1.226334007
048-121 ,8.912037037,2.985303508,79.42440415,2.187402839,0.949976983
056-M13 ,58.08080808,7.62107657,3373.380267,4.061835284,1.76403265
056-104,21.88548538,4.678192533,478.9744703,3.085823649,1.340156183
056-121,28.36246201,5.325641934,804.4292513,3.345066511,1.452743927
M13-104 ,15.76035782,3.969931715,248.3888786,2.757497788,1.197566073
M13-121 ,14.00759734,3.742672486,196.2127832,2.63959985,1.146363649
104-121,25.18199234,5.018166233,634.1327382,3.226129149,1.401090087
B8-007,0.529100529,0.727392967,0.27994737,-0.636576829,-0.276461804
025-007,18.36572152,4.285524649,337.299727,2.910485966,1.264007995
028-007 ,41.44728238,6.437956382,1717.877217,3.724422316,1.61749606
031-007 ,16.45210728,4.056119732,270.671834,2.800453571,1.216221533
048-007,19.17177629,4.3785587,367.5570061,2.953439213,1.282662353
056-007 ,33.30174656,5.770766549,1109.006324,3.505609845,1.522467011
M13-007 ,25.14619883,5.014598571,632.3313156,3.224706745,1.400472345
104-007,1.537176274,1.239829131,2.362910897,0.429947145,0.186723673
121-007 ,39.91013072,6.317446535,1592.818534,3.686630194,1.60108315
025-B8,78.81241565,8.877635702,6211.396861,4.367070543,1.896594639
028-B8,91.99284512,9.591290065,8462.683553,4.521710804,1.963754051
031-B8,47.81754799,6.915023354,2286.517896,3.867392685,1.679587302
048-B8,60.66531685,7.788794313,3680.280669,4.105372148,1.78294047
056-B8,86.94388049,9.324370246,7559.238355,4.465262859,1.93923902
M13-B8 ,38.17805777,6.178839516,1457.564095,3.642260947,1.581813831
104-B8,0.529100529,0.727392967,0.27994737,-0.636576829,-0.276461804
121-B8,82.99341682,9.110072273,6887.907235,4.418761289,1.919043645
028-025,31.52875587,5.615047272,994.0624467,3.450900014,1.498706834
031-025,23.19790538,4.816420391,538.142814,3.144061989,1.365448773
048-025,27.93317793,5.285184758,780.2624293,3.329815155,1.446120348
056-025,28.82498058,5.36889007,830.8795054,3.361242392,1.459769023
M13-025 ,21.41614221,4.627757795,458.6511472,3.064144947,1.330741242
104-025,34.5190175,5.875288716,1191.562569,3.541510404,1.538058426
121-025 ,32.62626263,5.711940356,1064.473013,3.485117566,1.513567328
031-028,12.19047619,3.491486244,148.6077097,2.500655007,1.086020671
048-028,16.01909995,4.002386782,256.6115632,2.773781757,1.204638111
056-028 ,24.53383616,4.953164257,601.9091167,3.200053233,1.389765461
M13-028 ,15.60558683,3.950390719,243.5343403,2.74762898,1.193280104
104-028 ,31.83596891,5.642337185,1013.528916,3.460596748,1.502918072
121-028,31.1323764,5.579639451,969.2248603,3.438248319,1.493212273
048-031 ,16.08045977,4.010044859,258.5811864,2.777604856,1.206298462
056-031 ,70.22357724,8.379950909,4931.3508,4.251684113,1.846482949
M13-031 ,32.14098979,5.669302408,1033.043225,3.470132156,1.507059247
104-031 ,77.89767379,8.825965884,6068.047582,4.355396091,1.891524489
121-031,48.37094586,6.954922419,2339.748403,3.878899341,1.68458458
056-048,45.15669516,6.719873151,2039.127118,3.810138556,1.65472215
M13-048 ,25.49223417,5.048983479,649.854003,3.238373863,1.406407899
104-048 ,51.13378685,7.150789247,2614.664158,3.93444547,1.708707957
121-048 ,52.44278046,7.241738773,2750.245222,3.959722679,1.719685709
M13-056 ,33.3974359,5.779051471,1115.388725,3.508479128,1.523713125
104-056 ,49.98481823,7.069994217,2498.482053,3.911719324,1.698838117
121-056 ,42.33875587,6.506823793,1792.570249,3.745702881,1.626738092
104-M13 ,60.37131196,7.769897809,3644.695308,4.100514025,1.780830614
121-M13 ,66.3823178,8.147534461,4406.612117,4.195430723,1.822052412
121-104,39.50734471,6.285486832,1560.830286,3.676486597,1.596677842
