cross,fert
U24-U94,79.48637317
U94-U24,23.73305615
U24-M13,73.62463925
M13-U24,67.92464187
U24-U50,71.94211018
U50-U24,57.44650543
U24-U32,63.04893194
U32-U24,88.47753543
U24-U12,37.49503431
U12-U24,79.62831187
U24-U16,78.06823217
U16-U24,82.81196785
U24-U4,54.30542167
U4-U24,34.85380117
U94-M13,54.91587944
M13-U94,80
U94-U50,78.56084078
U50-U94,25.75078238
U94-U32,4.640593657
U32-U94,3.558980004
U94-U12,19.32789433
U12-U94,88.44086022
U94-U16,66.31701632
U16-U94,76.93722944
U94-U4,84.45578231
U4-U94,61.94026892
M13-U50,82.56334497
U50-M13,65.4382248
M13-U32,61.11291486
U32-M13,99.14529915
M13-U12,48.16249429
U12-M13,97.71011396
M13-U16,79.40161572
U16-M13,71.3221824
M13-U4,74.89020641
U4-M13,85.62573099
U50-U32,38.56214428
U32-U50,82.00418629
U50-U12,18.8730341
U12-U50,77.27272727
U50-U16,40.65711391
U16-U50,68.86353203
U50-U4,42.67406104
U4-U50,76.52474783
U32-U12,69.88176698
U12-U32,69.31450946
U32-U16,89.21460057
U16-U32,54.01213739
U32-U4,75.24748511
U4-U32,46.15157174
U12-U16,84.52380952
U16-U12,40.72032559
U12-U4,6.184055446
U4-U12,7.250438967
U16-U4,80.76907001
U4-U16,48.24738614
B8-U38,98.37398374
U50-B8,87.17634567
U94-B8,88.80461954
U38-U50,64.12309368
U38-U94 ,50.39650538
U50-U94,37.47303622
U38-B8,79.12898059
B8-U50,71.64005648
B8-U94,83.68451449
U50-U38,96.48926237
U94-U38,90.4885549
U94-U50,65.40308691
