Night,fert,Year   ,Cross,Species,Clones
8/17/2022,76.56705114,Year 2 (2022),01x02 ,OFAV,No
8/17/2022,85.81738451,Year 2 (2022),01x07 ,OFAV,No
8/17/2022,83.07428912,Year 2 (2022),01x09 ,OFAV,No
8/17/2022,94.3768417,Year 2 (2022),01x04 ,OFAV,No
8/17/2022,92.54292571,Year 2 (2022),02x01 ,OFAV,No
8/17/2022,76.8730496,Year 2 (2022),02x07 ,OFAV,No
8/17/2022,92.21478712,Year 2 (2022),02x09 ,OFAV,No
8/17/2022,90.71349276,Year 2 (2022),02x04 ,OFAV,No
8/17/2022,92.65641942,Year 2 (2022),07x01 ,OFAV,No
8/17/2022,80.5129717,Year 2 (2022),07x02 ,OFAV,No
8/17/2022,93.42654487,Year 2 (2022),07x09 ,OFAV,No
8/17/2022,93.87967824,Year 2 (2022),07x04 ,OFAV,No
8/17/2022,93.55723449,Year 2 (2022),04x01 ,OFAV,No
8/17/2022,91.38070696,Year 2 (2022),04x02 ,OFAV,No
8/17/2022,91.09219115,Year 2 (2022),04x07 ,OFAV,No
8/17/2022,94.6422352,Year 2 (2022),04x09 ,OFAV,No
8/17/2022,45.5011517,Year 2 (2022),09x01 ,OFAV,No
8/17/2022,76.92496897,Year 2 (2022),09x02 ,OFAV,No
8/17/2022,85.12529881,Year 2 (2022),09x07 ,OFAV,No
8/17/2022,95.96262147,Year 2 (2022),09x04 ,OFAV,No
8/17/2022,68.49,Year 2 (2022),01x02 ,OFAV,Yes
8/17/2022,1.56,Year 2 (2022),01x03 ,OFAV,Yes
8/17/2022,0.00,Year 2 (2022),01x05 ,OFAV,Yes
8/17/2022,75.11,Year 2 (2022),01x06 ,OFAV,Yes
8/17/2022,78.58,Year 2 (2022),01x07 ,OFAV,Yes
8/17/2022,0.86,Year 2 (2022),01x08 ,OFAV,Yes
8/17/2022,69.36,Year 2 (2022),01x09 ,OFAV,Yes
8/17/2022,0.92,Year 2 (2022),01x12 ,OFAV,Yes
8/17/2022,0.45,Year 2 (2022),01x13 ,OFAV,Yes
8/17/2022,92.76,Year 2 (2022),01x04 ,OFAV,Yes
8/17/2022,92.96,Year 2 (2022),02x03 ,OFAV,Yes
8/17/2022,93.36,Year 2 (2022),02x05 ,OFAV,Yes
8/17/2022,90.76,Year 2 (2022),02x06 ,OFAV,Yes
8/17/2022,76.87,Year 2 (2022),02x07 ,OFAV,Yes
8/17/2022,76.45,Year 2 (2022),08x02 ,OFAV,Yes
8/17/2022,93.67,Year 2 (2022),02x09 ,OFAV,Yes
8/17/2022,91.27,Year 2 (2022),02x12 ,OFAV,Yes
8/17/2022,90.49,Year 2 (2022),02x13 ,OFAV,Yes
8/17/2022,90.71,Year 2 (2022),02x04 ,OFAV,Yes
8/17/2022,0.28,Year 2 (2022),03x05 ,OFAV,Yes
8/17/2022,83.45,Year 2 (2022),03x06 ,OFAV,Yes
8/17/2022,82.74,Year 2 (2022),03x07 ,OFAV,Yes
8/17/2022,0.20,Year 2 (2022),03x08 ,OFAV,Yes
8/17/2022,82.22,Year 2 (2022),03x09 ,OFAV,Yes
8/17/2022,0.34,Year 2 (2022),03x12,OFAV,Yes
8/17/2022,0.61,Year 2 (2022),03x13 ,OFAV,Yes
8/17/2022,92.38,Year 2 (2022),03x04 ,OFAV,Yes
8/17/2022,83.96,Year 2 (2022),05x06 ,OFAV,Yes
8/17/2022,84.26,Year 2 (2022),05x07 ,OFAV,Yes
8/17/2022,0.08,Year 2 (2022),05x08 ,OFAV,Yes
8/17/2022,79.72,Year 2 (2022),05x09 ,OFAV,Yes
8/17/2022,0.50,Year 2 (2022),05x12 ,OFAV,Yes
8/17/2022,0.19,Year 2 (2022),05x13 ,OFAV,Yes
8/17/2022,93.00,Year 2 (2022),05x04 ,OFAV,Yes
8/17/2022,83.42,Year 2 (2022),06x07 ,OFAV,Yes
8/17/2022,36.82,Year 2 (2022),06x08 ,OFAV,Yes
8/17/2022,41.40,Year 2 (2022),06x09 ,OFAV,Yes
8/17/2022,14.85,Year 2 (2022),06x12 ,OFAV,Yes
8/17/2022,46.46,Year 2 (2022),06x13 ,OFAV,Yes
8/17/2022,96.31,Year 2 (2022),06x04 ,OFAV,Yes
8/17/2022,92.41,Year 2 (2022),07x08 ,OFAV,Yes
8/17/2022,95.71,Year 2 (2022),07x09 ,OFAV,Yes
8/17/2022,94.89,Year 2 (2022),07x12 ,OFAV,Yes
8/17/2022,90.34,Year 2 (2022),07x13 ,OFAV,Yes
8/17/2022,93.88,Year 2 (2022),07x04 ,OFAV,Yes
8/17/2022,85.42,Year 2 (2022),08x09 ,OFAV,Yes
8/17/2022,0.00,Year 2 (2022),08x12 ,OFAV,Yes
8/17/2022,0.00,Year 2 (2022),08x13 ,OFAV,Yes
8/17/2022,95.09,Year 2 (2022),08x04 ,OFAV,Yes
8/17/2022,44.60,Year 2 (2022),09x12 ,OFAV,Yes
8/17/2022,43.09,Year 2 (2022),09x13 ,OFAV,Yes
8/17/2022,95.71,Year 2 (2022),04x09 ,OFAV,Yes
8/17/2022,0.99,Year 2 (2022),12x13 ,OFAV,Yes
8/17/2022,96.19,Year 2 (2022),12x04 ,OFAV,Yes
8/17/2022,96.84,Year 2 (2022),13x04 ,OFAV,Yes
8/17/2022,95.26,Year 2 (2022),01x02 ,OFAV,Yes
8/17/2022,0.13,Year 2 (2022),01x03 ,OFAV,Yes
8/17/2022,0.40,Year 2 (2022),01x05 ,OFAV,Yes
8/17/2022,64.30,Year 2 (2022),01x06 ,OFAV,Yes
8/17/2022,90.30,Year 2 (2022),01x07 ,OFAV,Yes
8/17/2022,0.00,Year 2 (2022),01x08 ,OFAV,Yes
8/17/2022,53.56,Year 2 (2022),01x09 ,OFAV,Yes
8/17/2022,1.25,Year 2 (2022),01x12 ,OFAV,Yes
8/17/2022,0.00,Year 2 (2022),01x13 ,OFAV,Yes
8/17/2022,94.37,Year 2 (2022),01x04 ,OFAV,Yes
8/17/2022,71.83,Year 2 (2022),02x03 ,OFAV,Yes
8/17/2022,74.02,Year 2 (2022),02x05 ,OFAV,Yes
8/17/2022,73.03,Year 2 (2022),02x06 ,OFAV,Yes
8/17/2022,80.51,Year 2 (2022),02x07 ,OFAV,Yes
8/17/2022,91.91,Year 2 (2022),08x02 ,OFAV,Yes
8/17/2022,80.82,Year 2 (2022),02x09 ,OFAV,Yes
8/17/2022,80.70,Year 2 (2022),02x12 ,OFAV,Yes
8/17/2022,87.91,Year 2 (2022),02x13 ,OFAV,Yes
8/17/2022,91.38,Year 2 (2022),02x04 ,OFAV,Yes
8/17/2022,0.00,Year 2 (2022),03x05 ,OFAV,Yes
8/17/2022,41.34,Year 2 (2022),03x06 ,OFAV,Yes
8/17/2022,93.09,Year 2 (2022),03x07 ,OFAV,Yes
8/17/2022,0.20,Year 2 (2022),03x08 ,OFAV,Yes
8/17/2022,44.05,Year 2 (2022),03x09 ,OFAV,Yes
8/17/2022,2.50,Year 2 (2022),03x12,OFAV,Yes
8/17/2022,0.32,Year 2 (2022),03x13 ,OFAV,Yes
8/17/2022,89.86,Year 2 (2022),03x04 ,OFAV,Yes
8/17/2022,41.80,Year 2 (2022),05x06 ,OFAV,Yes
8/17/2022,94.91,Year 2 (2022),05x07 ,OFAV,Yes
8/17/2022,0.00,Year 2 (2022),05x08 ,OFAV,Yes
8/17/2022,44.69,Year 2 (2022),05x09 ,OFAV,Yes
8/17/2022,3.19,Year 2 (2022),05x12 ,OFAV,Yes
8/17/2022,0.11,Year 2 (2022),05x13 ,OFAV,Yes
8/17/2022,96.15,Year 2 (2022),05x04 ,OFAV,Yes
8/17/2022,91.15,Year 2 (2022),06x07 ,OFAV,Yes
8/17/2022,86.04,Year 2 (2022),06x08 ,OFAV,Yes
8/17/2022,0.00,Year 2 (2022),06x09 ,OFAV,Yes
8/17/2022,90.86,Year 2 (2022),06x12 ,OFAV,Yes
8/17/2022,87.64,Year 2 (2022),06x13 ,OFAV,Yes
8/17/2022,93.57,Year 2 (2022),06x04 ,OFAV,Yes
8/17/2022,91.93,Year 2 (2022),07x08 ,OFAV,Yes
8/17/2022,86.83,Year 2 (2022),07x09 ,OFAV,Yes
8/17/2022,88.51,Year 2 (2022),07x12 ,OFAV,Yes
8/17/2022,88.90,Year 2 (2022),07x13 ,OFAV,Yes
8/17/2022,91.09,Year 2 (2022),07x04 ,OFAV,Yes
