Night,Year   ,Cross,fert
8/22/2019,Year 1 (2019),52-52 Self,3.667951769
8/22/2019,Year 1 (2019),53-53 Self,1.566224108
8/22/2019,Year 1 (2019),54-54 Self,1.190083126
8/22/2019,Year 1 (2019),55-55 Self,3.450167384
8/22/2019,Year 1 (2019),56-56 Self,6.582199546
8/22/2019,Year 1 (2019),57-57 Self,4.461946913
8/22/2019,Year 1 (2019),77-77 Self ,2.722872101
8/22/2019,Year 1 (2019),79-79 Self,6.421495191
8/22/2019,Year 1 (2019),90-90 Self,2.928210284
8/22/2019,Year 1 (2019),107-107,6.67890841
8/23/2019,Year 1 (2019),53,1.33
8/23/2019,Year 1 (2019),58,0.54
8/23/2019,Year 1 (2019),79,0.96
8/23/2019,Year 1 (2019),97,2.42
8/23/2019,Year 1 (2019),102,2.93
8/17/2022,Year 2 (2022),1,0.45
8/17/2022,Year 2 (2022),2,0.31
8/17/2022,Year 2 (2022),7,0.55
8/17/2022,Year 2 (2022),9,6.01
8/17/2022,Year 2 (2022),4,0.13
